kingdom	supergroup	division	class	salp_water	n_reads	n_reads_water	n_reads_pct
Eukaryota	Rhizaria	Radiolaria	RAD-A	ST_Non-Salps	1171	165835	0.7061235565471704
Eukaryota	Rhizaria	Radiolaria	RAD-A	ST_Salps	1274	359204	0.354673110544426
Eukaryota	Rhizaria	Radiolaria	Other	Coastal SA_Salps	1610	276303	0.5826936370578677
Eukaryota	Rhizaria	Radiolaria	Other	SA_Non-Salps	1130	193445	0.5841453643154385
Eukaryota	Rhizaria	Radiolaria	Other	SA_Salps	1294	386819	0.3345233817366779
Eukaryota	Rhizaria	Radiolaria	Other	ST_Non-Salps	388	165835	0.23396749781409232
Eukaryota	Rhizaria	Radiolaria	Other	ST_Salps	543	359204	0.15116758165276556
Eukaryota	Rhizaria	Radiolaria	Other	Coastal SA_Salps	65	276303	0.023524898390535027
Eukaryota	Rhizaria	Radiolaria	Other	SA_Non-Salps	54	193445	0.027914911215074053
Eukaryota	Rhizaria	Radiolaria	Other	SA_Salps	17	386819	0.004394820316478767
Eukaryota	Rhizaria	Radiolaria	Other	ST_Non-Salps	17	165835	0.01025115325474116
Eukaryota	Rhizaria	Radiolaria	Other	ST_Salps	17	359204	0.004732686718410708
Eukaryota	Rhizaria	Radiolaria	Other	Coastal SA_Salps	12	276303	0.004343058164406467
Eukaryota	Rhizaria	Radiolaria	Other	SA_Non-Salps	10	193445	0.005169428002791491
Eukaryota	Rhizaria	Radiolaria	Other	SA_Salps	12	386819	0.0031022261057497176
Eukaryota	Rhizaria	Radiolaria	Other	ST_Non-Salps	18	165835	0.010854162269725931
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coastal SA_Salps	29204	276303	10.569555886110537
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	SA_Non-Salps	130	193445	0.06720256403628938
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	SA_Salps	8520	386819	2.2025805350822996
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	ST_Non-Salps	1063	165835	0.6409985829288147
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	ST_Salps	4477	359204	1.2463669669602788
Eukaryota	Stramenopiles	Ochrophyta	Other	Coastal SA_Salps	1235	276303	0.4469730694201655
Eukaryota	Stramenopiles	Ochrophyta	Other	SA_Salps	64	386819	0.016545205897331827
Eukaryota	Stramenopiles	Ochrophyta	Other	ST_Salps	11	359204	0.003062326700148105
Eukaryota	Stramenopiles	Ochrophyta	Other	Coastal SA_Salps	76	276303	0.027506035041240957
Eukaryota	Stramenopiles	Ochrophyta	Other	SA_Non-Salps	160	193445	0.08271084804466386
Eukaryota	Stramenopiles	Ochrophyta	Other	SA_Salps	844	386819	0.21818990277106348
Eukaryota	Stramenopiles	Ochrophyta	Other	ST_Non-Salps	142	165835	0.08562728012783791
Eukaryota	Stramenopiles	Ochrophyta	Other	ST_Salps	4442	359204	1.2366232001870803
Eukaryota	Stramenopiles	Ochrophyta	Other	SA_Salps	63	386819	0.016286687055186017
Eukaryota	Stramenopiles	Ochrophyta	Other	ST_Non-Salps	9	165835	0.005427081134862966
Eukaryota	Stramenopiles	Ochrophyta	Other	ST_Salps	695	359204	0.19348336878208483
Eukaryota	Stramenopiles	Ochrophyta	Other	ST_Salps	12	359204	0.0033407200365252058
Eukaryota	Stramenopiles	Ochrophyta	Other	Coastal SA_Salps	4	276303	0.0014476860548021555
Eukaryota	Stramenopiles	Ochrophyta	Other	SA_Salps	3	386819	7.755565264374294e-4
Eukaryota	Stramenopiles	Ochrophyta	Other	ST_Non-Salps	54	165835	0.032562486809177796
Eukaryota	Stramenopiles	Ochrophyta	Other	ST_Salps	555	359204	0.15450830168929078
Eukaryota	Stramenopiles	Ochrophyta	Other	Coastal SA_Salps	132	276303	0.04777363980847113
Eukaryota	Stramenopiles	Ochrophyta	Other	Coastal SA_Salps	28	276303	0.010133802383615088
Eukaryota	Stramenopiles	Ochrophyta	Other	SA_Salps	416	386819	0.10754383833265688
Eukaryota	Stramenopiles	Ochrophyta	Other	ST_Non-Salps	15	165835	0.00904513522477161
Eukaryota	Stramenopiles	Ochrophyta	Other	ST_Salps	33	359204	0.009186980100444317
Eukaryota	Stramenopiles	Opalozoa	Other	SA_Non-Salps	57	193445	0.0294657396159115
Eukaryota	Stramenopiles	Opalozoa	Other	ST_Salps	242	359204	0.06737118740325831
Eukaryota	Stramenopiles	Opalozoa	Other	ST_Salps	16	359204	0.004454293382033608
Eukaryota	Stramenopiles	Opalozoa	Other	SA_Non-Salps	65	193445	0.03360128201814469
Eukaryota	Stramenopiles	Opalozoa	Other	SA_Salps	77	386819	0.019905950845227356
Eukaryota	Stramenopiles	Opalozoa	Other	ST_Non-Salps	10	165835	0.00603009014984774
Eukaryota	Stramenopiles	Opalozoa	Other	ST_Salps	61	359204	0.01698199351900313
Eukaryota	Stramenopiles	Pseudofungi	Other	ST_Salps	3	359204	8.351800091313014e-4
Eukaryota	Stramenopiles	Pseudofungi	Other	SA_Salps	41	386819	0.010599272527978201
Eukaryota	Stramenopiles	Pseudofungi	Other	ST_Salps	86	359204	0.02394182692843064
Eukaryota	Stramenopiles	Pseudofungi	Other	SA_Salps	13	386819	0.0033607449478955274
Eukaryota	Stramenopiles	Pseudofungi	Other	ST_Salps	131	359204	0.03646952706540016
Eukaryota	Stramenopiles	Pseudofungi	Other	Coastal SA_Salps	57	276303	0.02062952628093072
Eukaryota	Stramenopiles	Pseudofungi	Other	SA_Salps	138	386819	0.03567560021612175
Eukaryota	Stramenopiles	Pseudofungi	Other	ST_Salps	44	359204	0.01224930680059242
Eukaryota	Stramenopiles	Sagenista	Other	Coastal SA_Salps	20	276303	0.007238430274010778
Eukaryota	Stramenopiles	Sagenista	Other	ST_Non-Salps	13	165835	0.007839117194802061
Eukaryota	Stramenopiles	Sagenista	Other	ST_Salps	253	359204	0.07043351410340642
Eukaryota	Stramenopiles	Sagenista	Other	SA_Salps	5	386819	0.001292594210729049
Eukaryota	Stramenopiles	Sagenista	Other	ST_Salps	10	359204	0.002783933363771005
Eukaryota	Stramenopiles	Sagenista	Other	ST_Salps	5	359204	0.0013919666818855024
Eukaryota	Stramenopiles	Sagenista	Other	SA_Salps	8	386819	0.0020681507371664784
Eukaryota	Stramenopiles	Sagenista	Other	ST_Salps	2	359204	5.56786672754201e-4
Eukaryota	Stramenopiles	Stramenopiles_X	Other	Coastal SA_Salps	14	276303	0.005066901191807544
